preferredLabel,broaderpreferredLabel
Haskell,computer programming
sport and exercise medicine,medicines
enterprise risk management,risk management
incremental development,ICT project management methodologies
KDevelop,integrated development environment software
Absorb (learning management systems),learning management systems
biomedical science,laboratory-based sciences
network engineering,computer technology
Maltego,penetration testing tool
biosecurity related to animals,biosecurity
Erlang,computer programming
SAS language,computer programming
SAS language,statistical analysis system software
otorhinolaryngologic conditions,otorhinolaryngology
CryEngine,digital game creation systems
solar energy,renewable energy
footwear finishing techniques,footwear creation process
molecular and cellular immunology,clinical immunology
molecular and cellular immunology,immunology
accounting department processes,financial department processes
WizIQ,learning management systems
preventive medicine,medicines
Cain and Abel (penetration testing tool),penetration testing tool
Agile project management,ICT project management methodologies
network management system tools,ICT infrastructure
non-ferrous metal processing,types of metal manufacturing processes
ship related legislative requirements,maritime law
sales argumentation,sales strategies
statistical process control,statistics
RAGE (digital game creation systems),digital game creation systems
Ruby (computer programming),computer programming
Common Lisp,computer programming
international regulations for cargo handling,regulations for international transportation
Apache Maven,tools for software configuration management
precious metals,types of metal
Lisp,computer programming
history of theology,history
history of theology,theology
musculoskeletal anatomy,human anatomy
Informatica PowerCenter,"data extraction, transformation and loading tools"
prototyping in the wearing apparel industry,manufacturing of wearing apparel
metal and metal ore products,product comprehension
Apache Tomcat,web programming
software UI design patterns,software design methodologies
software UI design patterns,software interaction design
complementary and alternative medicine,medicines
Sass,style sheet languages
biological haematology,general haematology
political parties,politics
clinical immunology,immunology
clinical immunology,pathology
Visual Basic,computer programming
battery fluids,energy storage systems
Adobe Photoshop,graphics editor software
IBM InfoSphere DataStage,"data extraction, transformation and loading tools"
energy saving potential of automated shift systems,energy efficiency
pharmaceutical products,product comprehension
chemistry of wood,types of wood
digital journalism,journalism
Edmodo,learning management systems
crime victims' rights,social justice
circus aesthetics,aesthetics
laser engraving methods,engraving technologies
electroplating metal materials,electroplating processes
Java (computer programming),computer programming
dog behaviour,animal behaviour
chiropractic terminology,medical terminology
chiropractic terminology,terminology
analytical chemistry,chemistry
MDX,query languages
cloud security and compliance,cloud technologies
philosophy of mathematics,mathematics
